CODGEO;DEP;LIBGEO;Zonage ABC en vigueur depuis le 26 juin 2026
02083;02;Beuvardes;C
02084;02;Bézu-le-Guéry;B2
02085;02;Bézu-Saint-Germain;C
02086;02;Bichancourt;C
02087;02;Bieuxy;C
02088;02;Bièvres;C
02089;02;Billy-sur-Aisne;C
02090;02;Billy-sur-Ourcq;C
02091;02;Blanzy-lès-Fismes;C
02093;02;Blérancourt;C
02094;02;Blesmes;B2
02095;02;Bohain-en-Vermandois;C
02096;02;Bois-lès-Pargny;C
02097;02;Boncourt;C
02098;02;Bonneil;C
02099;02;Bonnesvalyn;C
02100;02;Bony;C
02101;02;Bosmont-sur-Serre;C
02102;02;Bouconville-Vauclair;C
02103;02;Boué;C
02104;02;Bouffignereux;C
02105;02;Bouresches;C
02106;02;Bourg-et-Comin;C
02107;02;Bourguignon-sous-Coucy;C
02108;02;Bourguignon-sous-Montbavin;C
02109;02;La Bouteille;C
02110;02;Braine;C
02111;02;Brancourt-en-Laonnois;C
02112;02;Brancourt-le-Grand;C
02114;02;Brasles;B2
02115;02;Braye-en-Laonnois;C
02116;02;Braye-en-Thiérache;C
02117;02;Bray-Saint-Christophe;C
02118;02;Braye;C
02119;02;Brécy;C
02120;02;Brenelle;C
02121;02;Breny;C
02122;02;Brie;C
02123;02;Brissay-Choigny;C
02124;02;Brissy-Hamégicourt;C
02125;02;Brumetz;B2
02126;02;Brunehamel;C
02127;02;Bruyères-sur-Fère;C
02128;02;Bruyères-et-Montbérault;C
02129;02;Bruys;C
02130;02;Bucilly;C
02131;02;Bucy-le-Long;C
02132;02;Bucy-lès-Cerny;C
02133;02;Bucy-lès-Pierrepont;C
02134;02;Buire;C
02135;02;Buironfosse;C
02136;02;Burelles;C
02137;02;Bussiares;B2
02138;02;Buzancy;C
02139;02;Caillouël-Crépigny;C
02140;02;Camelin;C
02141;02;La Capelle;C
02142;02;Castres;B2
02143;02;Le Catelet;C
02144;02;Caulaincourt;C
02145;02;Caumont;C
02146;02;Celles-lès-Condé;C
02148;02;Celles-sur-Aisne;C
02149;02;Cerizy;C
02150;02;Cerny-en-Laonnois;C
02151;02;Cerny-lès-Bucy;C
02152;02;Cerseuil;C
02153;02;Cessières-Suzy;C
02154;02;Chacrise;C
02155;02;Chaillevois;C
02156;02;Chalandry;C
02157;02;Chambry;B2
02158;02;Chamouille;C
02159;02;Champs;C
02160;02;Chaourse;C
02162;02;La Chapelle-sur-Chézy;C
02163;02;Charly-sur-Marne;B2
02164;02;Le Charmel;C
02165;02;Charmes;C
02166;02;Chartèves;C
02167;02;Chassemy;C
02168;02;Château-Thierry;B1
02169;02;Châtillon-lès-Sons;C
02170;02;Châtillon-sur-Oise;C
02171;02;Chaudardes;C
02172;02;Chaudun;C
02173;02;Chauny;C
02174;02;Chavignon;C
02175;02;Chavigny;C
02176;02;Chavonne;C
02177;02;Chérêt;C
02178;02;Chermizy-Ailles;C
02179;02;Chéry-Chartreuve;C
02180;02;Chéry-lès-Pouilly;C
02181;02;Chéry-lès-Rozoy;C
02182;02;Chevennes;C
